IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location
10179,Biossido di Azoto,µg/m³,704,Sermide - via Dalla Chiesa,11,MN,Sermide e Felonica,S,29/11/2006,01/01/2017,4986023,680789,45.004613731114105,11.294014707706845,"(45.004613731114105, 11.294014707706845)"
10177,Ossidi di Azoto,µg/m³,704,Sermide - via Dalla Chiesa,11,MN,Sermide e Felonica,S,29/11/2006,01/01/2017,4986023,680789,45.004613731114105,11.294014707706845,"(45.004613731114105, 11.294014707706845)"
10185,PM10 (SM2005),µg/m³,704,Sermide - via Dalla Chiesa,11,MN,Sermide e Felonica,S,01/01/2007,01/01/2017,4986023,680789,45.004613731114105,11.294014707706845,"(45.004613731114105, 11.294014707706845)"
10399,Particelle sospese PM2.5,µg/m³,583,Bergamo - via Meucci,249,BG,Bergamo,N,20/12/2008,,5059922,550116,45.69103740547214,9.643650579461385,"(45.69103740547214, 9.643650579461385)"
6642,Particolato Totale Sospeso,µg/m³,542,Meda,222,MB,Meda,S,01/11/1995,04/02/1998,5056480,512203,45.66176219189168,9.156643984551597,"(45.66176219189168, 9.156643984551597)"
9859,Monossido di Carbonio,mg/m³,673,Voghera - via Pozzoni,90,PV,Voghera,N,05/07/2005,,4982900,500665,44.99954598914026,9.008437381815693,"(44.99954598914026, 9.008437381815693)"
12613,Nikel,ng/m³,670,Mantova - S.Agnese,22,MN,Mantova,N,19/02/2008,,5002356,641122,45.16056833010576,10.79556411370788,"(45.16056833010576, 10.79556411370788)"
6364,Ossidi di Azoto,µg/m³,517,Turbigo,141,MI,Turbigo,N,11/01/1990,,5041480,479423,45.52655086994247,8.736496578379215,"(45.52655086994247, 8.736496578379215)"
6915,PM10 (SM2005),µg/m³,554,Saronno - via Santuario,212,VA,Saronno,N,16/12/2003,,5052520,503123,45.626218960836006,9.04006309067821,"(45.626218960836006, 9.04006309067821)"
5577,Biossido di Azoto,µg/m³,574,Lecco - Via Amendola,214,LC,Lecco,N,17/02/1991,,5077479,530713,45.850191194578535,9.395577066893223,"(45.850191194578535, 9.395577066893223)"
5801,Monossido di Carbonio,mg/m³,562,Mariano Comense,256,CO,Mariano Comense,S,18/12/1991,04/01/2012,5059472,514067,45.68865731381679,9.180657768638271,"(45.68865731381679, 9.180657768638271)"
10507,Biossido di Azoto,µg/m³,1269,Dalmine - via Verdi,207,BG,Dalmine,K,12/02/2010,,5055304,546847,45.64970251236247,9.601223338785262,"(45.64970251236247, 9.601223338785262)"
ciao,Ossidi di Azoto,µg/m³,574,Lecco - Via Amendola,214,LC,Lecco,N,01/01/1991,,5077479,530713,45.850191194578535,9.395577066893223,"(45.850191194578535, 9.395577066893223)"
